Event,Brewery,Beer,Style,ABV
4,Hop Farm Brewing Company,Punk Rock Rhino,Hazy IPA,6.5
4,Hop Farm Brewing Company,Porch Bier,German-style Helles Lager,5
4,Brew Gentlemen,General Braddock's,American IPA,6.8
4,Brew Gentlemen,BG Summer Pils,Lager,5.2
4,Brew Gentlemen,DoubleMex 2021,Barrel Aged Stout,9.9
4,War Streets Brewery,Arch St.,Amber Ale,5.6
4,War Streets Brewery,Ridge Ave,RyePA,6.7
4,Acrospire Brewing Co.,Dismal Nitch,Black IPA,7.2
4,Acrospire Brewing Co.,Hear No Evil,Honey Ginger Wheat,5.4
4,Dancing Gnome Beer,Warm Hand Splash,DIPA,8
4,Dancing Gnome Beer,Lustra,Pake Ale,5.8
4,Dancing Gnome Beer,Not Always Present,Kolsch Style Ale,4.8
4,Quinn Brewing Company ,Paulie’s Lookout,Blonde Coffee Stout,4.8
4,Quinn Brewing Company ,Lucky’s Black IPA,Black IPA,6
4,Quinn Brewing Company ,Forth & Clyde Scotch Ale,Scotch Ale,7.5
4,Full Pint Beer,Gold Rebellion,Malt Liquor,10
4,Full Pint Beer,Smackdown Sour Peach Punched,Fruited Berliner Weisse,4.8
4,Full Pint Beer,Lemon Refresher,Weizenbach Shandy,4.5
4,East End Brewing,Everyday,Pilsner,4.4
4,East End Brewing,Swisshelm Park,Hazy IPA,7.2
4,Fermata Brewing Company,Practice Beer,American Lite Lager,4.2
4,Fermata Brewing Company,Out of Tune Series: Wild Berry and Vanilla,Fruited Sour Beer,6
4,Fermata Brewing Company,Yacht Rauch,Smoked Helles Bock,6.7
4,Fermata Brewing Company,Onward to Valhalla,West Coast DIPA,8.3
4,New Crescent Brewing Co.,Betelgeuse,Hazy IPA,6.8
4,New Crescent Brewing Co.,Blueberry Wheat,Fruited Ale,4.85
4,New Crescent Brewing Co.,Lunar Weizen,Hefeweizen,5.6
4,Tortured Souls Brewing ,Spa Day,Cucumber Wheat Ale,5.8
4,Tortured Souls Brewing ,Melon Spa Day,Cucumber Melon Wheat Ale,5.8
4,Hazel Grove Brewing,Panda's Choice,Belgian Tripel,9.8
4,Hazel Grove Brewing,Far From Dreaming,Irish Red,4.7
4,Hazel Grove Brewing,Simple Plan,Helles,4.8
4,Hazel Grove Brewing,Canopy of Stars,Imperial Stout,11.9
4,Unity Brewing,Ridge Runner,Hazy IPA,6.3
4,Unity Brewing,Vanilla Bean,Blonde Ale,5.7
4,Unity Brewing,Cucumber Watermelon Tart,Cucumber Watermelon Tart,5
4,Unity Brewing,Cerveza Mexicana,Salted Lime Lager,5.8
4,Unity Brewing,Training Camp,Light Pilsner,4.7
4,Arboretum Trail Brewing Company,Cowgirl Candy,Barleywine with Candied Bacon,10
4,Arboretum Trail Brewing Company,Does It Make A Sound,New England DIPA,8.2
4,Arboretum Trail Brewing Company,Mango Blood Orange Bellini Sour,Fruited Sour,6.6
4,Voodoo Brewery,Empty Calories,Light Lager,4.7
4,Voodoo Brewery,Hoodoo,West Coast IPA,7.3
4,Voodoo Brewery,Voodoo Love Child,Fruited Belgian Tripel,9.5
4,Voodoo Brewery,Wynonas Big Brown Ale,Robust Brown Ale,7.5
4,Arsenal Cider,Picket Bone Dry,Cider,8.5
4,Arsenal Cider,Grierson’s Ginger,Cider,8
